goos: linux
goarch: amd64
pkg: github.com/AlexanderGrooff/ansible-jinja-go
cpu: 12th Gen Intel(R) Core(TM) i7-12700K
BenchmarkParseAndEvaluateTokens/simple_variable-20                       	 8176420	       147.9 ns/op	     176 B/op	       3 allocs/op
BenchmarkParseAndEvaluateTokens/simple_variable-20                       	 8107785	       148.5 ns/op	     176 B/op	       3 allocs/op
BenchmarkParseAndEvaluateTokens/simple_variable-20                       	 7897225	       147.2 ns/op	     176 B/op	       3 allocs/op
BenchmarkNestedDictionaryParseAndEvaluate/deep_access_chain-20           	 1507045	       796.8 ns/op	    1424 B/op	      14 allocs/op
BenchmarkNestedDictionaryParseAndEvaluate/deep_access_chain-20           	 1513046	       792.7 ns/op	    1424 B/op	      14 allocs/op
BenchmarkNestedDictionaryParseAndEvaluate/deep_access_chain-20           	 1506848	       794.2 ns/op	    1424 B/op	      14 allocs/op
BenchmarkNestedDictionaryParseAndEvaluate/deep_access_with_list_index-20 	 7729275	       155.4 ns/op	     176 B/op	       3 allocs/op
BenchmarkNestedDictionaryParseAndEvaluate/deep_access_with_list_index-20 	 7220065	       154.9 ns/op	     176 B/op	       3 allocs/op
BenchmarkNestedDictionaryParseAndEvaluate/deep_access_with_list_index-20 	 7622140	       156.2 ns/op	     176 B/op	       3 allocs/op
BenchmarkNestedDictionaryParseAndEvaluate/very_deep_access_chain-20      	 6973543	       172.1 ns/op	     176 B/op	       3 allocs/op
BenchmarkNestedDictionaryParseAndEvaluate/very_deep_access_chain-20      	 6957924	       172.1 ns/op	     176 B/op	       3 allocs/op
BenchmarkNestedDictionaryParseAndEvaluate/very_deep_access_chain-20      	 6913801	       173.6 ns/op	     176 B/op	       3 allocs/op
BenchmarkNestedDictionaryParseAndEvaluate/mixed_subscript_and_attribute_access-20         	 6810907	       175.2 ns/op	     176 B/op	       3 allocs/op
BenchmarkNestedDictionaryParseAndEvaluate/mixed_subscript_and_attribute_access-20         	 6786309	       175.5 ns/op	     176 B/op	       3 allocs/op
BenchmarkNestedDictionaryParseAndEvaluate/mixed_subscript_and_attribute_access-20         	 6794444	       176.5 ns/op	     176 B/op	       3 allocs/op
BenchmarkNestedDictionaryParseAndEvaluate/complex_expression_with_nested_dicts-20         	 1208401	       990.5 ns/op	    1616 B/op	      19 allocs/op
BenchmarkNestedDictionaryParseAndEvaluate/complex_expression_with_nested_dicts-20         	 1207632	       992.9 ns/op	    1616 B/op	      19 allocs/op
BenchmarkNestedDictionaryParseAndEvaluate/complex_expression_with_nested_dicts-20         	 1212072	       984.1 ns/op	    1616 B/op	      19 allocs/op
BenchmarkTemplateParser/simple_template-20                                                	 6040641	       197.9 ns/op	     152 B/op	       6 allocs/op
BenchmarkTemplateParser/simple_template-20                                                	 5945964	       197.5 ns/op	     152 B/op	       6 allocs/op
BenchmarkTemplateParser/simple_template-20                                                	 6071017	       197.0 ns/op	     152 B/op	       6 allocs/op
BenchmarkTemplateParser/complex_template-20                                               	 1987616	       598.7 ns/op	     504 B/op	      17 allocs/op
BenchmarkTemplateParser/complex_template-20                                               	 2006700	       609.8 ns/op	     504 B/op	      17 allocs/op
BenchmarkTemplateParser/complex_template-20                                               	 1956087	       605.8 ns/op	     504 B/op	      17 allocs/op
BenchmarkTemplateParser/mixed_content-20                                                  	 2185094	       544.7 ns/op	     536 B/op	      14 allocs/op
BenchmarkTemplateParser/mixed_content-20                                                  	 2191195	       547.1 ns/op	     536 B/op	      14 allocs/op
BenchmarkTemplateParser/mixed_content-20                                                  	 2197758	       549.0 ns/op	     536 B/op	      14 allocs/op
BenchmarkNestedDictionaryTemplates/simple_nested_access-20                                	 2120593	       567.8 ns/op	     344 B/op	      14 allocs/op
BenchmarkNestedDictionaryTemplates/simple_nested_access-20                                	 2088646	       565.3 ns/op	     344 B/op	      14 allocs/op
BenchmarkNestedDictionaryTemplates/simple_nested_access-20                                	 2092179	       566.3 ns/op	     344 B/op	      14 allocs/op
BenchmarkNestedDictionaryTemplates/deep_nested_access-20                                  	  742729	      1577 ns/op	     992 B/op	      40 allocs/op
BenchmarkNestedDictionaryTemplates/deep_nested_access-20                                  	  760117	      1580 ns/op	     992 B/op	      40 allocs/op
BenchmarkNestedDictionaryTemplates/deep_nested_access-20                                  	  742798	      1587 ns/op	     992 B/op	      40 allocs/op
BenchmarkNestedDictionaryTemplates/nested_with_array_access-20                            	 1000000	      1078 ns/op	     696 B/op	      28 allocs/op
BenchmarkNestedDictionaryTemplates/nested_with_array_access-20                            	 1000000	      1074 ns/op	     696 B/op	      28 allocs/op
BenchmarkNestedDictionaryTemplates/nested_with_array_access-20                            	 1000000	      1076 ns/op	     696 B/op	      28 allocs/op
BenchmarkNestedDictionaryTemplates/nested_with_conditional-20                             	  907731	      1203 ns/op	     856 B/op	      30 allocs/op
BenchmarkNestedDictionaryTemplates/nested_with_conditional-20                             	  955135	      1202 ns/op	     856 B/op	      30 allocs/op
BenchmarkNestedDictionaryTemplates/nested_with_conditional-20                             	  941175	      1210 ns/op	     856 B/op	      30 allocs/op
BenchmarkNestedDictionaryTemplates/complex_template_with_deep_nesting-20                  	  251901	      4863 ns/op	    3146 B/op	     100 allocs/op
BenchmarkNestedDictionaryTemplates/complex_template_with_deep_nesting-20                  	  244677	      4936 ns/op	    3146 B/op	     100 allocs/op
BenchmarkNestedDictionaryTemplates/complex_template_with_deep_nesting-20                  	  244874	      4913 ns/op	    3146 B/op	     100 allocs/op
BenchmarkNestedDictionaryTemplates/deeply_nested_mixed_subscript_access-20                	 1000000	      1117 ns/op	     704 B/op	      28 allocs/op
BenchmarkNestedDictionaryTemplates/deeply_nested_mixed_subscript_access-20                	 1000000	      1113 ns/op	     704 B/op	      28 allocs/op
BenchmarkNestedDictionaryTemplates/deeply_nested_mixed_subscript_access-20                	 1000000	      1118 ns/op	     704 B/op	      28 allocs/op
--- FAIL: BenchmarkNestedDictionaryTemplates/for_loop_with_nested_access
    benchmark_test.go:520: Error rendering template: error evaluating for loop collection 'users': variable 'users' is undefined
BenchmarkNestedDictionaryTemplates/simple_usernames-20                                    	 1000000	      1037 ns/op	     528 B/op	      26 allocs/op
BenchmarkNestedDictionaryTemplates/simple_usernames-20                                    	 1000000	      1033 ns/op	     528 B/op	      26 allocs/op
BenchmarkNestedDictionaryTemplates/simple_usernames-20                                    	 1000000	      1086 ns/op	     528 B/op	      26 allocs/op
--- FAIL: BenchmarkNestedDictionaryTemplates
BenchmarkComplexExpressionLALR-20                                                         	  301356	      3914 ns/op	    8051 B/op	      80 allocs/op
BenchmarkComplexExpressionLALR-20                                                         	  306510	      3952 ns/op	    8051 B/op	      80 allocs/op
BenchmarkComplexExpressionLALR-20                                                         	  308330	      3919 ns/op	    8051 B/op	      80 allocs/op
BenchmarkNestedAccessLALR-20                                                              	 1747216	       681.0 ns/op	    1424 B/op	      13 allocs/op
BenchmarkNestedAccessLALR-20                                                              	 1742289	       682.4 ns/op	    1424 B/op	      13 allocs/op
BenchmarkNestedAccessLALR-20                                                              	 1738609	       689.1 ns/op	    1424 B/op	      13 allocs/op
BenchmarkDictLiteralLALR-20                                                               	  325347	      3699 ns/op	    5813 B/op	      80 allocs/op
BenchmarkDictLiteralLALR-20                                                               	  322840	      3687 ns/op	    5812 B/op	      80 allocs/op
BenchmarkDictLiteralLALR-20                                                               	  310617	      3699 ns/op	    5813 B/op	      80 allocs/op
BenchmarkLongExpressionLALR-20                                                            	  482286	      2450 ns/op	    3912 B/op	      51 allocs/op
