goos: linux
goarch: amd64
pkg: github.com/AlexanderGrooff/ansible-jinja-go/pkg/ansiblejinja
cpu: 12th Gen Intel(R) Core(TM) i7-12700K
BenchmarkNestedDictionaryTemplates/deeply_nested_mixed_subscript_access-20                	 1000000	      1084 ns/op	     704 B/op	      28 allocs/op
BenchmarkNestedDictionaryTemplates/deeply_nested_mixed_subscript_access-20                	 1000000	      1092 ns/op	     704 B/op	      28 allocs/op
--- FAIL: BenchmarkNestedDictionaryTemplates/for_loop_with_nested_access
    benchmark_test.go:519: Error rendering template: error evaluating for loop collection 'users': variable 'users' is undefined
BenchmarkNestedDictionaryTemplates/simple_usernames-20                                    	 1000000	      1007 ns/op	     528 B/op	      26 allocs/op
BenchmarkNestedDictionaryTemplates/simple_usernames-20                                    	 1000000	      1005 ns/op	     528 B/op	      26 allocs/op
BenchmarkNestedDictionaryTemplates/simple_usernames-20                                    	 1000000	      1008 ns/op	     528 B/op	      26 allocs/op
--- FAIL: BenchmarkNestedDictionaryTemplates
BenchmarkComplexExpressionLALR-20                                                         	  302683	      3872 ns/op	    8051 B/op	      80 allocs/op
BenchmarkComplexExpressionLALR-20                                                         	  307970	      3857 ns/op	    8051 B/op	      80 allocs/op
BenchmarkComplexExpressionLALR-20                                                         	  310591	      3859 ns/op	    8051 B/op	      80 allocs/op
BenchmarkNestedAccessLALR-20                                                              	 1760689	       679.0 ns/op	    1424 B/op	      13 allocs/op
BenchmarkNestedAccessLALR-20                                                              	 1766287	       678.3 ns/op	    1424 B/op	      13 allocs/op
BenchmarkNestedAccessLALR-20                                                              	 1765296	       682.3 ns/op	    1424 B/op	      13 allocs/op
BenchmarkDictLiteralLALR-20                                                               	  324259	      3791 ns/op	    5812 B/op	      80 allocs/op
BenchmarkDictLiteralLALR-20                                                               	  317701	      3649 ns/op	    5812 B/op	      80 allocs/op
BenchmarkDictLiteralLALR-20                                                               	  311047	      3649 ns/op	    5812 B/op	      80 allocs/op
BenchmarkLongExpressionLALR-20                                                            	  479920	      2411 ns/op	    3912 B/op	      51 allocs/op
BenchmarkLongExpressionLALR-20                                                            	  481820	      2422 ns/op	    3912 B/op	      51 allocs/op
BenchmarkLongExpressionLALR-20                                                            	  459066	      2417 ns/op	    3912 B/op	      51 allocs/op
FAIL
exit status 1
FAIL	github.com/AlexanderGrooff/ansible-jinja-go/pkg/ansiblejinja	200.156s
FAIL
